,MetroArea,date,values
0,AUSPOP,2000-01-01,1265.715
1,AUSPOP,2001-01-01,1324.426
2,AUSPOP,2002-01-01,1353.176
3,AUSPOP,2003-01-01,1382.693
4,AUSPOP,2004-01-01,1418.999
5,AUSPOP,2005-01-01,1464.309
6,AUSPOP,2006-01-01,1528.958
7,AUSPOP,2007-01-01,1594.525
8,AUSPOP,2008-01-01,1654.1
9,AUSPOP,2009-01-01,1705.075
10,AUSPOP,2010-01-01,1727.514
11,AUSPOP,2011-01-01,1780.679
12,AUSPOP,2012-01-01,1834.861
13,AUSPOP,2013-01-01,1883.749
14,AUSPOP,2014-01-01,1943.017
15,AUSPOP,2015-01-01,2002.814
16,AUSPOP,2016-01-01,2062.808
17,AUSPOP,2017-01-01,2115.999
18,AUSPOP,2018-01-01,2166.805
19,AUSPOP,2019-01-01,2228.106
20,AUSPOP,2020-01-01,2295.303
21,HTNPOP,2000-01-01,4739.414
22,HTNPOP,2001-01-01,4851.189
23,HTNPOP,2002-01-01,4978.638
24,HTNPOP,2003-01-01,5084.017
25,HTNPOP,2004-01-01,5190.444
26,HTNPOP,2005-01-01,5299.567
27,HTNPOP,2006-01-01,5484.883
28,HTNPOP,2007-01-01,5597.674
29,HTNPOP,2008-01-01,5726.705
30,HTNPOP,2009-01-01,5867.489
31,HTNPOP,2010-01-01,5947.185
32,HTNPOP,2011-01-01,6056.008
33,HTNPOP,2012-01-01,6183.119
34,HTNPOP,2013-01-01,6327.622
35,HTNPOP,2014-01-01,6499.375
36,HTNPOP,2015-01-01,6670.803
37,HTNPOP,2016-01-01,6806.315
38,HTNPOP,2017-01-01,6898.912
39,HTNPOP,2018-01-01,6974.948
40,HTNPOP,2019-01-01,7063.4
41,HTNPOP,2020-01-01,7154.478
42,DFWPOP,2000-01-01,5196.188
43,DFWPOP,2001-01-01,5354.623
44,DFWPOP,2002-01-01,5476.578
45,DFWPOP,2003-01-01,5582.033
46,DFWPOP,2004-01-01,5689.982
47,DFWPOP,2005-01-01,5816.407
48,DFWPOP,2006-01-01,5999.411
49,DFWPOP,2007-01-01,6156.652
50,DFWPOP,2008-01-01,6301.085
51,DFWPOP,2009-01-01,6447.615
52,DFWPOP,2010-01-01,6392.097
53,DFWPOP,2011-01-01,6510.55
54,DFWPOP,2012-01-01,6644.519
55,DFWPOP,2013-01-01,6753.804
56,DFWPOP,2014-01-01,6889.603
57,DFWPOP,2015-01-01,7042.322
58,DFWPOP,2016-01-01,7195.475
59,DFWPOP,2017-01-01,7337.707
60,DFWPOP,2018-01-01,7457.586
61,DFWPOP,2019-01-01,7574.39
62,DFWPOP,2020-01-01,7694.138
63,SATPOP,2000-01-01,1719.262
64,SATPOP,2001-01-01,1743.796
65,SATPOP,2002-01-01,1777.397
66,SATPOP,2003-01-01,1808.267
67,SATPOP,2004-01-01,1843.927
68,SATPOP,2005-01-01,1878.12
69,SATPOP,2006-01-01,1932.72
70,SATPOP,2007-01-01,1984.766
71,SATPOP,2008-01-01,2030.691
72,SATPOP,2009-01-01,2072.128
73,SATPOP,2010-01-01,2153.021
74,SATPOP,2011-01-01,2193.95
75,SATPOP,2012-01-01,2237.076
76,SATPOP,2013-01-01,2280.116
77,SATPOP,2014-01-01,2328.984
78,SATPOP,2015-01-01,2379.357
79,SATPOP,2016-01-01,2426.051
80,SATPOP,2017-01-01,2471.603
81,SATPOP,2018-01-01,2512.526
82,SATPOP,2019-01-01,2550.147
83,SATPOP,2020-01-01,2590.732
84,ELPPOP,2000-01-01,680.942
85,ELPPOP,2001-01-01,684.78
86,ELPPOP,2002-01-01,688.771
87,ELPPOP,2003-01-01,694.672
88,ELPPOP,2004-01-01,702.433
89,ELPPOP,2005-01-01,708.683
90,ELPPOP,2006-01-01,720.756
91,ELPPOP,2007-01-01,727.828
92,ELPPOP,2008-01-01,738.416
93,ELPPOP,2009-01-01,751.296
94,ELPPOP,2010-01-01,807.02
95,ELPPOP,2011-01-01,823.205
96,ELPPOP,2012-01-01,835.471
97,ELPPOP,2013-01-01,833.918
98,ELPPOP,2014-01-01,836.67
99,ELPPOP,2015-01-01,834.916
100,ELPPOP,2016-01-01,838.371
101,ELPPOP,2017-01-01,840.702
102,ELPPOP,2018-01-01,840.372
103,ELPPOP,2019-01-01,842.376
104,ELPPOP,2020-01-01,846.192
105,MCLPOP,2000-01-01,573.398
106,MCLPOP,2001-01-01,588.533
107,MCLPOP,2002-01-01,607.449
108,MCLPOP,2003-01-01,627.164
109,MCLPOP,2004-01-01,646.523
110,MCLPOP,2005-01-01,665.475
111,MCLPOP,2006-01-01,683.719
112,MCLPOP,2007-01-01,701.862
113,MCLPOP,2008-01-01,721.275
114,MCLPOP,2009-01-01,741.152
115,MCLPOP,2010-01-01,779.091
116,MCLPOP,2011-01-01,795.305
117,MCLPOP,2012-01-01,807.93
118,MCLPOP,2013-01-01,818.047
119,MCLPOP,2014-01-01,829.065
120,MCLPOP,2015-01-01,838.741
121,MCLPOP,2016-01-01,847.759
122,MCLPOP,2017-01-01,854.739
123,MCLPOP,2018-01-01,860.765
124,MCLPOP,2019-01-01,867.221
125,MCLPOP,2020-01-01,875.2
