,MetroArea,date,values
0,AUSPOP,1977-04-01,39.16
1,AUSPOP,1977-07-01,40.65
2,AUSPOP,1977-10-01,43.24
3,AUSPOP,1978-01-01,44.35
4,AUSPOP,1978-04-01,46.47
5,AUSPOP,1978-07-01,48.1
6,AUSPOP,1978-10-01,49.38
7,AUSPOP,1979-01-01,52.29
8,AUSPOP,1979-04-01,52.66
9,AUSPOP,1979-07-01,55.95
10,AUSPOP,1979-10-01,59.22
11,AUSPOP,1980-01-01,58.41
12,AUSPOP,1980-04-01,63.7
13,AUSPOP,1980-07-01,60.54
14,AUSPOP,1980-10-01,61.54
15,AUSPOP,1981-01-01,63.54
16,AUSPOP,1981-04-01,66.63
17,AUSPOP,1981-07-01,68.58
18,AUSPOP,1981-10-01,57.47
19,AUSPOP,1982-01-01,69.24
20,AUSPOP,1982-04-01,64.23
21,AUSPOP,1982-07-01,62.53
22,AUSPOP,1982-10-01,72.84
23,AUSPOP,1983-01-01,74.32
24,AUSPOP,1983-04-01,77.35
25,AUSPOP,1983-07-01,78.07
26,AUSPOP,1983-10-01,81.34
27,AUSPOP,1984-01-01,82.55
28,AUSPOP,1984-04-01,86.27
29,AUSPOP,1984-07-01,89.86
30,AUSPOP,1984-10-01,91.49
31,AUSPOP,1985-01-01,93.47
32,AUSPOP,1985-04-01,96.79
33,AUSPOP,1985-07-01,96.5
34,AUSPOP,1985-10-01,96.55
35,AUSPOP,1986-01-01,97.07
36,AUSPOP,1986-04-01,98.66
37,AUSPOP,1986-07-01,97.72
38,AUSPOP,1986-10-01,95.73
39,AUSPOP,1987-01-01,93.33
40,AUSPOP,1987-04-01,91.71
41,AUSPOP,1987-07-01,85.06
42,AUSPOP,1987-10-01,81.37
43,AUSPOP,1988-01-01,79.24
44,AUSPOP,1988-04-01,91.47
45,AUSPOP,1988-07-01,75.32
46,AUSPOP,1988-10-01,73.77
47,AUSPOP,1989-01-01,73.36
48,AUSPOP,1989-04-01,72.98
49,AUSPOP,1989-07-01,73.99
50,AUSPOP,1989-10-01,73.01
51,AUSPOP,1990-01-01,72.77
52,AUSPOP,1990-04-01,73.15
53,AUSPOP,1990-07-01,72.77
54,AUSPOP,1990-10-01,72.99
55,AUSPOP,1991-01-01,75.08
56,AUSPOP,1991-04-01,76.81
57,AUSPOP,1991-07-01,77.95
58,AUSPOP,1991-10-01,78.38
59,AUSPOP,1992-01-01,80.29
60,AUSPOP,1992-04-01,82.15
